"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Rondon et al. 2007)","Beans","legume","Biomass",,97.2,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.44,1.553,0.553,1
"(Rondon et al. 2007)","Beans","legume","Grain",,145.8,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.446,1.562,0.562,1
"(Rondon et al. 2007)","Beans","legume","Grain",,48.6,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.613,1.846,0.846,1
"(Rondon et al. 2007)","Beans","legume","Grain",,97.2,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.613,1.846,0.846,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,3,30,6.23,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",-0.118,0.889,-0.111,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,3,30,6.43,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",-0.105,0.9,-0.1,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,1.5,30,6.43,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",0,1,0,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,1.5,30,6.43,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",0.095,1.1,0.1,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,3,30,6.43,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",0.095,1.1,0.1,1
"(Schnell et al. 2012)","Sorghum","cereal","Biomass",,3,30,6.23,"NA",2.5,"NA","NA","NA","Light","Nonwood",530,"NA","NA",1,"NA","NA",0.154,1.167,0.167,1
"(Shackley et al. 2012)","Rice","cereal","Biomass",4.5,41.5,"NA",5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.004,1.004,0.004,0
"(Shackley et al. 2012)","Rice","cereal","Grain",4.5,41.5,"NA",5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.095,1.099,0.099,0
"(Shackley et al. 2012)","Rice","cereal","Biomass",4.5,41.5,"NA",5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.186,1.205,0.205,0
"(Shackley et al. 2012)","Rice","cereal","Grain",4.5,41.5,"NA",5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.283,1.328,0.328,0
"(Shackley et al. 2012)","Rice","cereal","Grain",4.5,41.5,0,5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.353,1.423,0.423,0
"(Shackley et al. 2012)","Rice","cereal","Biomass",4.5,41.5,0,5.5,"NA","NA","NA","NA","NA",,"Nonwood",1000,0.35,9.63,1,13.5,103.75,0.488,1.63,0.63,0
"(Sokchea et al. 2013)","Rice","cereal","Grain",4.5,30,100,5.5,"NA","NA",0.248,0.658,0.086,,"Nonwood",500,0.0599,10.7,1,11.5,105,0.112,1.118,0.118,0
"(Sokchea et al. 2013)","Rice","cereal","Grain",4.5,30,100,5.5,"NA","NA",0.248,0.658,0.086,,"Nonwood",600,0.312,9.8,1,11.5,105,0.164,1.178,0.178,0
"(Sokchea et al. 2013)","Rice","cereal","Grain",4.5,30,100,5.5,"NA","NA",0.248,0.658,0.086,,"Nonwood",500,0.0599,10.7,1,11.5,105,0.524,1.689,0.689,0
"(Sokchea et al. 2013)","Rice","cereal","Grain",4.5,30,100,5.5,"NA","NA",0.248,0.658,0.086,,"Nonwood",600,0.312,9.8,1,11.5,105,0.571,1.769,0.769,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,3,12.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,-0.07,0.932,-0.068,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,6,14.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,-0.034,0.966,-0.034,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,1.5,14.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,-0.003,0.997,-0.003,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,1.5,12.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.005,1.005,0.005,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,3,14.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.031,1.031,0.031,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,6,12.8,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.162,1.175,0.175,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,6,15.9,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.356,1.428,0.428,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,3,15.9,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.381,1.463,0.463,0
"(Solaiman et al. 2010)","Wheat","cereal","Grain",,1.5,15.9,5.3,1.8,15.5,"NA","NA","NA","Medium","Wood","NA",0.304,8.4,1,-28.5,115.75,0.409,1.505,0.505,0
"(Steiner et al. 2007)","Sorghum","cereal","Biomass",,11,30,4.7,1.6,24,"NA","NA","NA","Light","Wood",500,0.75,"NA",1,-3,-60,0.372,1.45,0.45,0
"(Steiner et al. 2007)","Sorghum","cereal","Grain",,11,30,4.7,1.6,24,"NA","NA","NA","Light","Wood",500,0.75,"NA",1,-3,-60,0.545,1.724,0.724,0
"(Steiner et al. 2007)","Sorghum","cereal","Biomass",,11,55,4.7,1.6,24,"NA","NA","NA","Light","Wood",500,0.75,"NA",2,-3,-60,0.981,2.667,1.667,0
"(Steiner et al. 2007)","Sorghum","cereal","Grain",,11,55,4.7,1.6,24,"NA","NA","NA","Light","Wood",500,0.75,"NA",2,-3,-60,2.022,7.556,6.556,0
"(Suddick & Six 2013)","Mixed vegetables","vegetable","Biomass",,10,271,7.8,33.4,11.6,0.49,0.29,0.22,,"Nonwood",900,0.553,9.7,3,38.55,121.74,-0.54,0.583,-0.417,0
"(Suddick & Six 2013)","Mixed vegetables","vegetable","Biomass",,10,271,7.8,33.4,11.6,0.49,0.29,0.22,,"Nonwood",900,0.553,9.7,4,38.55,121.74,-0.405,0.667,-0.333,0
"(Suddick & Six 2013)","Mixed vegetables","vegetable","Biomass",,10,271,7.8,33.4,11.6,0.49,0.29,0.22,,"Nonwood",900,0.553,9.7,2,38.55,121.74,-0.083,0.921,-0.079,0
"(Suddick & Six 2013)","Mixed vegetables","vegetable","Biomass",,10,271,7.8,33.4,11.6,0.49,0.29,0.22,,"Nonwood",900,0.553,9.7,1,38.55,121.74,-0.011,0.989,-0.011,0
"(Sukartono et al. 2011)","Maize","cereal","Grain",5.5,15,135,5.97,11.74,8.9,0.55,0.36,0.09,"Light","Nonwood",254,0.806,9.9,1,-8.5,116.5,0.073,1.075,0.075,0
"(Sukartono et al. 2011)","Maize","cereal","Grain",5.5,15,135,5.97,16.79,8.9,0.55,0.36,0.09,"Light","Manure",254,0.235,8.9,1,-8.5,116.5,0.09,1.094,0.094,0
"(Sukartono et al. 2011)","Maize","cereal","Grain",5.5,15,135,5.97,11.74,8.9,0.55,0.36,0.09,"Light","Nonwood",254,0.806,9.9,2,-8.5,116.5,0.193,1.213,0.213,0
"(Sukartono et al. 2011)","Maize","cereal","Grain",5.5,15,135,5.97,16.79,8.9,0.55,0.36,0.09,"Light","Manure",254,0.235,8.9,2,-8.5,116.5,0.21,1.234,0.234,0
"(Tagoe et al. 2008)","Soybeans","legume","Grain",,4.95,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",500,0.501,7.76,1,35.5,136.75,0.186,1.205,0.205,1
"(Tagoe et al. 2008)","Soybeans","legume","Grain",,2.28,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",450,0.498,9.93,1,35.5,136.75,0.343,1.409,0.409,1
"(Tagoe et al. 2008)","Soybeans","legume","Grain",,4.95,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",500,0.501,7.76,1,35.5,136.75,0.353,1.424,0.424,1
"(Tagoe et al. 2008)","Cowpea","legume","Grain",,4.95,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",500,0.501,7.76,1,35.5,136.75,0.465,1.592,0.592,1
"(Tagoe et al. 2008)","Soybeans","legume","Grain",,2.28,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",450,0.498,9.93,1,35.5,136.75,0.49,1.632,0.632,1
"(Tagoe et al. 2008)","Cowpea","legume","Grain",,4.95,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",500,0.501,7.76,1,35.5,136.75,0.515,1.674,0.674,1
"(Tagoe et al. 2008)","Cowpea","legume","Grain",,2.28,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",450,0.498,9.93,1,35.5,136.75,0.687,1.989,0.989,1
"(Tagoe et al. 2008)","Cowpea","legume","Grain",,2.28,0,5.62,"NA",8.8,"NA","NA","NA","Light","Manure",450,0.498,9.93,1,35.5,136.75,0.899,2.458,1.458,1
"(Tatarková et al. 2013)","Sunflower","forb","Biomass",,30,"NA",7.91,19.3,14.7,0.291,0.601,0.108,,"Nonwood",300,0.517,10.6,1,"NA","NA",0.172,1.187,0.187,1
"(Tatarková et al. 2013)","Sunflower","forb","Biomass",,30,"NA",7.91,19.3,14.7,0.291,0.601,0.108,,"Nonwood",300,0.517,10.6,1,"NA","NA",0.357,1.429,0.429,1
"(Uddin et al. 1994)","Sugar cane","grass","Biomass (total)",,8,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,26.5,127.5,0.059,1.06,0.06,0
"(Uddin et al. 1994)","Sugar cane","grass","Biomass (total)",,2,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,26.5,127.5,0.075,1.078,0.078,0
"(Uddin et al. 1994)","Sugar cane","grass","Biomass (total)",,4,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,26.5,127.5,0.1,1.106,0.106,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,30,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,2,44,11,0.186,1.204,0.204,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,60,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,2,44,11,0.218,1.243,0.243,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,30,122,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.247,1.281,0.281,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,30,122,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.25,1.284,0.284,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,60,122,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.251,1.285,0.285,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,30,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.254,1.29,0.29,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,30,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.285,1.329,0.329,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,30,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,2,44,11,0.285,1.33,0.33,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,60,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.289,1.336,0.336,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,60,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,2,44,11,0.307,1.359,0.359,0
"(Vaccari et al. 2011)","Wheat","cereal","Biomass",,60,122,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.326,1.385,0.385,0
"(Vaccari et al. 2011)","Wheat","cereal","Grain",,60,0,5.2,18,2.1,0.501,0.433,0.067,"Light","Wood",500,0.84,7.2,1,44,11,0.331,1.392,0.392,0
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,-0.981,0.375,-0.625,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,-0.693,0.5,-0.5,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,-0.693,0.5,-0.5,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,-0.636,0.529,-0.471,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,-0.348,0.706,-0.294,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,-0.147,0.864,-0.136,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,-0.134,0.875,-0.125,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,0,1,0,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.154,1.167,0.167,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,0.154,1.167,0.167,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,0.187,1.205,0.205,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.288,1.333,0.333,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,16.25,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,0.307,1.359,0.359,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.314,1.368,0.368,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,0.336,1.4,0.4,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.5,9.4,1,-34.25,142.25,0.405,1.5,0.5,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,0.405,1.5,0.5,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,0.511,1.667,0.667,1
"(Van Zwieten et al. 2010) ","Soybeans","legume","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,0.521,1.684,0.684,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.531,1.7,0.7,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,0,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.693,2,1,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.5,9.4,1,-28.5,153.5,0.875,2.4,1.4,1
"(Van Zwieten et al. 2010) ","Wheat","cereal","Biomass",,10,16.25,4.2,4.03,"NA","NA","NA","NA","Light","Wood",550,0.52,8.2,1,-28.5,153.5,1.03,2.8,1.8,1
"(Van Zwieten et al. 2010) ","Radish","root","Biomass",,10,0,7.67,31,"NA","NA","NA","NA","Medium","Wood",550,0.52,8.2,1,-34.25,142.25,1.253,3.5,2.5,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,10,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,-0.081,0.922,-0.078,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,25,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,-0.044,0.957,-0.043,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,10,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,-0.034,0.966,-0.034,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,25,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0,1,0,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,10,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0,1,0,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,25,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0,1,0,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,50,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.021,1.021,0.021,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,25,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.022,1.022,0.022,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,25,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.03,1.03,0.03,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,25,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.042,1.043,0.043,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,10,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.044,1.045,0.045,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,25,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.061,1.062,0.062,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,25,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.08,1.083,0.083,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,50,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.08,1.083,0.083,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,25,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.081,1.085,0.085,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,10,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.083,1.087,0.087,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,25,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.086,1.089,0.089,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,25,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.089,1.093,0.093,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,10,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.102,1.108,0.108,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,50,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.105,1.111,0.111,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,50,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.127,1.136,0.136,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,50,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.129,1.138,0.138,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,10,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.146,1.158,0.158,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,50,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.154,1.167,0.167,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,50,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.155,1.168,0.168,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,50,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.156,1.168,0.168,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,50,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.163,1.177,0.177,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,25,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.165,1.179,0.179,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,25,0,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.173,1.189,0.189,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,50,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.175,1.191,0.191,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,50,0,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.179,1.196,0.196,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,25,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.183,1.201,0.201,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,50,200,7.8,"NA",4.8,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.184,1.202,0.202,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,10,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.201,1.223,0.223,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,25,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.211,1.235,0.235,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,50,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.293,1.341,0.341,1
"(Wang et al. 2012)","Rice","cereal","Biomass",4.5,25,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.331,1.393,0.393,1
"(Wang et al. 2012)","Wheat","cereal","Biomass",,50,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.532,1.702,0.702,1
"(Wang et al. 2012)","Rice","cereal","Grain",4.5,50,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.533,1.704,0.704,1
"(Wang et al. 2012)","Wheat","cereal","Grain",,50,200,6.6,"NA",14.7,"NA","NA","NA","Medium","Nonwood",450,0.4654,9.1,1,32,119,0.538,1.712,0.712,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8.1,"NA","NA","NA","NA","NA",,"Wood",600,0.678,7.7,1,48.5,-115.88,-0.146,0.864,-0.136,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8.1,"NA","NA","NA","NA","NA",,"Wood",600,0.678,7.7,1,48.5,-115.88,-0.051,0.951,-0.049,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8.1,"NA","NA","NA","NA","NA",,"Wood",600,0.678,7.7,1,48.5,-115.88,-0.012,0.988,-0.012,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8,"NA","NA","NA","NA","NA",,"Nonwood",400,0.657,8.34,1,48.5,-115.88,-0.004,0.996,-0.004,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8,"NA","NA","NA","NA","NA",,"Nonwood",360,0.6,8.35,1,48.5,-115.88,0.063,1.066,0.066,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8.1,"NA","NA","NA","NA","NA",,"Wood",600,0.678,7.7,1,48.5,-115.88,0.127,1.136,0.136,1
"(Warnock et al. 2010)","Plantago lanceolata","forb","Biomass",,"NA","NA",8,"NA","NA","NA","NA","NA",,"Nonwood",430,0.647,8.23,1,48.5,-115.88,0.38,1.463,0.463,1
"(Warnock et al. 2010)","Savannah grasses","grass","Biomass",,"NA","NA","NA","NA","NA","NA","NA","NA",,"Wood","NA",0.717,10.14,1,4.25,-7.5,1.061,2.89,1.89,0
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,1.5,0,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,-0.916,0.4,-0.6,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,1.5,0,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,-0.693,0.5,-0.5,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,5,0,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,-0.693,0.5,-0.5,1
