Reference,Feedstock,Pyrolysis_temperature,Other,C,C_org,C_inorg,H,N,O,O_to_C,Aromaticity,Ash,VM,Fixed_Carbon,Time_of_experiment_yrs,H_to_Corg,H_C_used,C1,C2,C3,k1,k2,k3,Temp_of_experiment
"Zimmerman and Gao, 2013",grass,650,,,638,,,,318,,54.7,15.9,33,,3.21369863013699,0.53881744849885,0.53881744849885,2.32882025108022,97.6711797489198,0,0.787764618096805,0.00049,0,32
"Zimmerman and Gao, 2013",oak,400,,,696,,,,469,,35.1,2.6,51.9,,3.21369863013699,0.714,,1.85871212632772,98.1412878736723,0,3.7955603323075,0.006580164025455,0,32
"Zimmerman and Gao, 2013",oak,525,,,751,,,,259,,not available,6.8,36.4,,3.21369863013699,0.455,0.455,0.762867668055712,99.2371323319443,0,4.52720957757291,0.003101698397162,0,32
"Zimmerman and Gao, 2013",oak,650,,,788,,,,182,,57.2,3.7,20.7,,3.21369863013699,0.418337742504409,0.418337742504409,0.885588678283608,99.1144113217164,0,3.29370825115794,0.002311631844747,0,32
"Zimmerman and Gao, 2013",oak,650,72h,,773,,,,201,,not available,7.4,14.7,,3.21369863013699,0.350477149958337,0.350477149958337,0.276676864037807,99.7233231359622,0,6.39005362078295,0.001419452112316,0,32
"Zimmerman, 2010",cedar,400,,,776,,,,179,,not available,0.4,52,,1.03835616438356,0.62,0.62,0.766411934546304,99.2335880654537,0,9.04248118149051,0.006762238634953,0,32
"Zimmerman, 2010",cedar,525,,,854,,,,113,,not available,1.3,39.1,,1.03835616438356,0.59,0.59,0.488991032827421,99.5110089671726,0,12.5057976030583,0.008805697916656,0,32
"Zimmerman, 2010",cedar,650,,,842,,,,114,,not available,1,30.9,,1.03835616438356,0.43,0.43,0.395576132611709,99.6044238673883,0,10.9249546304673,0.003650613096887,0,32
"Zimmerman, 2010",bubinga,400,,,786,,,,176,,not available,1.8,41.1,,1.03835616438356,0.56,0.56,0.369535845103828,99.6304641548962,0,17.26604106471,0.008216868270796,0,32
"Zimmerman, 2010",bubinga,650,,,830,,,,138,,not available,1.3,22.3,,1.03835616438356,0.44,0.44,0.474856456779673,99.5251435432203,0,11.6477987391395,0.004365340395469,0,32
"Zimmerman, 2010",sugar cane,400,,,609,,,,337,,not available,2.7,63.9,,1.03835616438356,0.91,,0.888077815764171,99.1119221842358,0,9.62147484171378,0.010666299765183,0,32
"Zimmerman, 2010",sugar cane,525,,,657,,,,302,,not available,8.7,55.1,,1.03835616438356,0.58,0.58,0.613028520779053,99.386971479221,0,4.84539847965519,0.007096234517071,0,32
"Zimmerman, 2010",sugar cane,650,,,720,,,,240,,not available,6.8,48.8,,1.03835616438356,0.51,0.51,0.288301308393345,99.7116986916067,0,12.9298297517514,0.005018165008717,0,32
"Zimmerman, 2010 updated",pine (all biotic),400,400,,686,,,,259,,46,0.5,58.6,,3.21369863013699,0.916981616639076,,1.09608970096926,98.9039102990308,0,1.7337630335001,0.004790352852178,0,32
"Zimmerman, 2010 updated",pine,525,525,,806,,,,140,,not available,1.2,25.7,,3.21369863013699,0.757333018040653,,0.433554999630465,99.5664450003696,0,3.79727062011973,0.003792813380449,0,32
"Zimmerman, 2010 updated",pine,650,650,,830,,,,122,,58.1,1.1,25.2,,3.21369863013699,0.658618568761882,0.658618568761882,1.47513249807248,98.5248675019275,0,1.59349043595132,0.000682187574132,0,32
"Zimmerman, 2010 updated",pine,650,72hrs,,825,,,,142,,not available,1.2,21.7,,3.21369863013699,0.429572569297165,0.429572569297165,0.314273694763877,99.6857263052361,0,8.57669594787799,0.001983839346047,0,32
