"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"Europe",50,0.15,FALSE,FALSE,250,"BES",-180.118088647119,-7.57057804052297,-80.5225802726723,NA,146.372892547443,89.3722245620168,4.28986677897681,86.9719338821258,0,0.150069889939539,7.50349449697705,1.472501178,89.2450883351634,NA,122.671565851278,Inf,0,211.424031218349
"India",50,0.15,FALSE,FALSE,250,"BES",-124.105180930303,-16.6502424841485,-43.2307836324991,NA,124.063848103915,89.3722245620168,4.28986677897681,73.5865343473527,0,0.845868138062848,42.2934069031423,1.472501178,56.5772930847722,NA,113.581318770493,169.907574588481,0,211.424031218349
"US",100,0.15,FALSE,FALSE,250,"BES",-176.683883962807,-38.5831703361225,-105.598324148646,NA,252.959922917359,89.3722245620168,4.28986677897681,138.003988437604,0,0.514594434199082,51.4594434199082,1.472501178,77.9900842776848,NA,157.328281457305,522.872020985097,0,211.424031218349
"China",100,0.15,FALSE,FALSE,250,"BES",-116.616774430923,-15.9381611027877,-53.1256454547665,NA,144.019737252917,89.3722245620168,4.28986677897681,61.602960587937,0,0.555728510337068,55.5728510337063,1.472501178,47.3548831616118,NA,105.443074850249,276.275460456775,0,211.424031218349
"Europe",100,0.15,FALSE,FALSE,250,"BES",-180.823615067658,58.4558271149569,-73.0190857756942,NA,146.372892547443,89.3722245620168,4.28986677897681,86.9719338821258,0,0.150069889939539,15.0069889939541,1.472501178,89.2450883351634,NA,122.671565851278,Inf,0,211.424031218349
"India",100,0.15,FALSE,FALSE,250,"BES",-83.546371008711,25.7614681456425,-0.937376729356571,NA,124.063848103915,89.3722245620168,4.28986677897681,73.5865343473527,0,0.845868138062848,84.5868138062846,1.472501178,56.5772930847722,NA,113.581318770493,169.907574588481,0,211.424031218349
"US",150,0.15,FALSE,FALSE,250,"BES",-166.133380840746,11.2074460974916,-79.9597772004669,NA,252.959922917359,89.3722245620168,4.28986677897681,138.003988437604,0,0.514594434199082,77.1891651298621,1.472501178,77.9900842776848,NA,157.328281457305,522.872020985097,0,211.424031218349
"China",150,0.15,FALSE,FALSE,250,"BES",-90.344334893949,12.4129217466403,-25.3392199379128,NA,144.019737252917,89.3722245620168,4.28986677897681,61.602960587937,0,0.555728510337068,83.3592765505616,1.472501178,47.3548831616118,NA,105.443074850249,276.275460456775,0,211.424031218349
"Europe",150,0.15,FALSE,FALSE,250,"BES",-181.529141488197,124.482232270437,-65.5155912787172,NA,146.372892547443,89.3722245620168,4.28986677897681,86.9719338821258,0,0.150069889939539,22.510483490931,1.472501178,89.2450883351634,NA,122.671565851278,Inf,0,211.424031218349
"India",150,0.15,FALSE,FALSE,250,"BES",-42.9875610871185,68.1731787754335,41.3560301737859,NA,124.063848103915,89.3722245620168,4.28986677897681,73.5865343473527,0,0.845868138062848,126.880220709427,1.472501178,56.5772930847722,NA,113.581318770493,169.907574588481,0,211.424031218349
"US",200,0.15,FALSE,FALSE,250,"BES",-155.582877718684,64.4814271673545,-54.3212302522891,NA,252.959922917359,89.3722245620168,4.28986677897681,138.003988437604,0,0.514594434199082,102.918886839816,1.472501178,77.9900842776848,NA,157.328281457305,522.872020985097,0,211.424031218349
"China",200,0.15,FALSE,FALSE,250,"BES",-64.0718953569752,40.7640045960684,2.44720557894025,NA,144.019737252917,89.3722245620168,4.28986677897681,61.602960587937,0,0.555728510337068,111.145702067413,1.472501178,47.3548831616118,NA,105.443074850249,276.275460456775,0,211.424031218349
"Europe",200,0.15,FALSE,FALSE,250,"BES",-182.234667908737,190.508637425917,-58.0120967817406,NA,146.372892547443,89.3722245620168,4.28986677897681,86.9719338821258,0,0.150069889939539,30.0139779879082,1.472501178,89.2450883351634,NA,122.671565851278,Inf,0,211.424031218349
"India",200,0.15,FALSE,FALSE,250,"BES",-2.42875116552605,110.584889405225,83.6494370769281,NA,124.063848103915,89.3722245620168,4.28986677897681,73.5865343473527,0,0.845868138062848,169.173627612569,1.472501178,56.5772930847722,NA,113.581318770493,169.907574588481,0,211.424031218349
