"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","area_best_km2","area_viable_km2","biomass_processed_yr_mg","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"Europe",200,0.02,FALSE,FALSE,250,"BEBCS",1476176.17425014,1460799.46712354,22053135.3942243,-14.9857105432294,212.068849362378,72.7487212895946,NA,123.586909602156,45.2070426719704,18.4345858548583,83.5540364403223,0,0.776592272934538,155.318454586908,0.75264329023612,41.4263200466037,23.1996116232349,164.74743740161,192.315531455348,1.26957180780428,358.74274277852
"India",200,0.02,FALSE,FALSE,250,"BES",8525.37561044009,8525.37561044009,7839.25112499529,105.890697115234,118.809198564819,111.721718380382,NA,115.003127321785,26.2012980234781,1.25766230512695,84.6504690982677,0,0.839380515216272,167.876103043254,1.472501178,55.955044764,NA,76.1353750352468,133.568110771303,0,211.424031218349
"India",200,0.02,FALSE,FALSE,250,"BECCS",2775107.34776752,2775107.34776752,158925305.485906,139.306512769871,431.73780375613,311.918193895262,1125.24393637298,45.845478413798,33.2879681484244,1.66439840742122,47.6365017620696,134.704328115717,2.37357089157718,474.714178315435,1.3743344328,54.4972120134645,NA,158.107947561883,91.5527956887671,1.49846647195528,268.607929679724
"India",200,0.02,FALSE,FALSE,250,"BEBCS",125926.447948687,125926.447948687,1050802.64402094,84.0417864766505,213.221177489555,158.079863522481,NA,92.7218932371368,45.2070426719704,18.4345858548583,74.3876654288694,0,1.13527338956563,227.054677913127,0.75264329023612,28.738041671724,40.3164378933292,129.826250137319,121.970185672039,1.87167431111574,358.74274277852
"US",0,0.08,FALSE,FALSE,250,"BES",4113441.38177661,NA,NA,-158.750194484793,-59.5108143467591,-116.450884616844,NA,224.883876708497,52.1253774989087,2.50201811994762,133.792581506275,0,0.512612562756849,0,1.472501178,71.9690925082879,NA,127.959135069114,426.948418938845,0,211.424031218349
"US",0,0.08,FALSE,FALSE,250,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,66.2237383946958,3.31118691973479,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,268.607929679724
"US",0,0.08,FALSE,FALSE,250,"BEBCS",NA,NA,NA,NA,NA,NA,NA,NA,81.1633784450883,19.1521486030496,NA,0,NA,NA,0.75264329023612,NA,NA,NA,NA,NA,358.74274277852
"China",0,0.08,FALSE,FALSE,250,"BES",5025247.98817207,NA,NA,-130.012396472919,-33.6056310795066,-57.4364067228963,NA,67.1594934065935,52.1253774989087,2.50201811994762,50.0739240109891,0,0.562032565214735,0,1.472501178,47.2649129069675,NA,71.1044046647577,186.452386231475,0,211.424031218349
"China",0,0.08,FALSE,FALSE,250,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,66.2237383946958,3.31118691973479,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,268.607929679724
"China",0,0.08,FALSE,FALSE,250,"BEBCS",1334.52318907365,NA,NA,-88.1461385515174,-51.8249643739496,-65.2925212693415,NA,139.436837800344,81.1633784450883,19.1521486030496,60.9155256700516,0,0.981959392535028,0,0.75264329023612,24.7117880294193,71.2267434194287,119.584284436422,164.126788017471,1.63201754015187,358.74274277852
